Zip Code,Population,Poulation Below Poverty Line,Population Below Poverty Line past 12 months,Poverty Percentage
02584,10.0,0.0,0.0,0.0
02637,141.0,40.0,0.0,0.28368794326241137
02641,191.0,68.0,0.0,0.35602094240837695
02643,0.0,0.0,0.0,
02651,0.0,0.0,0.0,
02663,96.0,47.0,0.0,0.4895833333333333
02791,279.0,108.0,28.0,0.3870967741935484
02780,50358.0,12421.0,1348.0,0.24665395766313197
02332,15572.0,4344.0,160.0,0.27896223991780117
02346,24166.0,6427.0,427.0,0.265952164197633
02366,195.0,0.0,0.0,0.0
02368,33980.0,8550.0,788.0,0.2516185991759859
02445,20774.0,5025.0,274.0,0.241888899586021
02453,28696.0,5559.0,344.0,0.19372037914691942
02468,5568.0,1709.0,16.0,0.3069324712643678
01009,384.0,72.0,43.0,0.1875
01063,574.0,0.0,0.0,0.0
01066,9.0,0.0,0.0,0.0
01074,477.0,134.0,0.0,0.2809224318658281
01079,480.0,113.0,11.0,0.23541666666666666
01086,683.0,0.0,0.0,0.0
01093,348.0,95.0,0.0,0.27298850574712646
01094,327.0,62.0,0.0,0.18960244648318042
01097,54.0,13.0,10.0,0.24074074074074073
01199,0.0,0.0,0.0,
01224,209.0,64.0,0.0,0.3062200956937799
01229,86.0,22.0,0.0,0.2558139534883721
01243,333.0,119.0,11.0,0.35735735735735735
01260,447.0,81.0,0.0,0.18120805369127516
01270,813.0,243.0,14.0,0.2988929889298893
01343,46.0,22.0,0.0,0.4782608695652174
01347,126.0,24.0,0.0,0.19047619047619047
01354,1604.0,397.0,12.0,0.24750623441396508
01434,1712.0,84.0,11.0,0.04906542056074766
01525,227.0,36.0,0.0,0.15859030837004406
01561,243.0,85.0,0.0,0.3497942386831276
01901,1878.0,341.0,53.0,0.18157614483493079
01937,136.0,0.0,0.0,0.0
01089,28671.0,6737.0,563.0,0.2349761082627045
01259,506.0,163.0,0.0,0.3221343873517787
01507,13379.0,3673.0,107.0,0.27453471858883327
01581,18836.0,4912.0,154.0,0.2607772350817583
01960,52313.0,13293.0,994.0,0.2541050981591574
01969,6232.0,1724.0,50.0,0.2766367137355584
01983,6496.0,1853.0,0.0,0.28525246305418717
01039,1129.0,335.0,17.0,0.2967227635075288
01040,40362.0,9317.0,2297.0,0.23083593479014916
01010,3724.0,1040.0,58.0,0.27926960257787325
01036,5193.0,1501.0,35.0,0.2890429424224918
01220,8211.0,2230.0,175.0,0.27158689562781635
01824,25961.0,7183.0,147.0,0.2766842571549632
01450,11282.0,3270.0,108.0,0.28984222655557523
01612,4845.0,1190.0,45.0,0.24561403508771928
01905,25590.0,6140.0,952.0,0.23993747557639702
01531,1247.0,318.0,13.0,0.2550120288692863
01603,19981.0,4239.0,786.0,0.21215154396676844
01607,8698.0,1938.0,234.0,0.22280984134283743
01702,39226.0,8767.0,1189.0,0.22349971957375211
01760,35715.0,9461.0,132.0,0.2649027019459611
01778,13850.0,3891.0,53.0,0.28093862815884474
01830,26524.0,6447.0,665.0,0.2430628864424672
01852,34756.0,7840.0,1283.0,0.2255725630107032
01879,12305.0,3189.0,194.0,0.2591629418935392
01887,23538.0,6345.0,146.0,0.2695641091001784
01921,8228.0,2369.0,60.0,0.2879192999513855
01105,11601.0,2372.0,1196.0,0.20446513231617963
01201,44775.0,11501.0,1419.0,0.25686208821887213
01230,8359.0,1984.0,73.0,0.23734896518722334
01238,5917.0,1548.0,39.0,0.2616190637147203
01257,2138.0,522.0,28.0,0.2441534144059869
01367,605.0,137.0,10.0,0.22644628099173553
01430,6210.0,1630.0,16.0,0.26247987117552335
01432,7703.0,1889.0,213.0,0.245229131507205
01436,3460.0,870.0,23.0,0.2514450867052023
01463,12049.0,3156.0,144.0,0.2619304506598058
01468,4124.0,1146.0,0.0,0.27788554801163917
01516,8745.0,2316.0,94.0,0.2648370497427101
01523,7735.0,1736.0,83.0,0.2244343891402715
01541,3438.0,1009.0,35.0,0.29348458406050026
01560,4477.0,1102.0,57.0,0.24614697341970068
01570,16926.0,4340.0,326.0,0.2564102564102564
01608,3371.0,515.0,246.0,0.15277365766834766
01966,7184.0,1909.0,61.0,0.2657293986636971
01970,42991.0,9847.0,1221.0,0.2290479402665674
01985,4545.0,1356.0,60.0,0.2983498349834984
01754,10560.0,2746.0,178.0,0.26003787878787876
01745,501.0,140.0,0.0,0.27944111776447106
01746,14480.0,4046.0,17.0,0.2794198895027624
01749,19843.0,5445.0,269.0,0.27440407196492467
01827,3337.0,903.0,6.0,0.2706023374288283
01833,8569.0,2553.0,59.0,0.2979344147508461
01844,49587.0,12887.0,932.0,0.259886663843346
01845,30170.0,8048.0,234.0,0.2667550546900895
01521,2510.0,742.0,11.0,0.29561752988047807
01537,2337.0,496.0,82.0,0.21223791185280275
01542,2299.0,610.0,6.0,0.2653327533710309
01550,16858.0,4231.0,642.0,0.2509787637916716
01610,23438.0,3766.0,821.0,0.1606792388429047
01718,716.0,212.0,13.0,0.29608938547486036
01757,28694.0,7502.0,342.0,0.26144838642224855
01776,18697.0,5443.0,109.0,0.29111622185377334
01803,26103.0,7007.0,201.0,0.26843657817109146
01810,35375.0,9359.0,265.0,0.264565371024735
01832,23372.0,5669.0,715.0,0.24255519424952934
01860,6752.0,1970.0,59.0,0.2917654028436019
01862,10676.0,2524.0,61.0,0.23641813413263393
01890,22579.0,6116.0,96.0,0.2708711634704814
01081,1827.0,503.0,19.0,0.2753147235905857
01118,14774.0,4212.0,622.0,0.28509543793150127
01469,7454.0,2045.0,34.0,0.27434934263482696
